2022-11-16 21:17:30,762 INFO    MainThread:22424 [wandb_setup.py:_flush():68] Configure stats pid to 22424
2022-11-16 21:17:30,763 INFO    MainThread:22424 [wandb_setup.py:_flush():68] Loading settings from /Users/daehungo/.config/wandb/settings
2022-11-16 21:17:30,763 INFO    MainThread:22424 [wandb_setup.py:_flush():68] Loading settings from /Users/daehungo/Desktop/DataCapstone/github/DeepHedging/DeepRL-TensorFlow2-master/A3C/wandb/settings
2022-11-16 21:17:30,763 INFO    MainThread:22424 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-16 21:17:30,763 INFO    MainThread:22424 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'DeepHedging/DeepRL-TensorFlow2-master/A3C/A3C_Continuous.py', 'program': '/Users/daehungo/Desktop/DataCapstone/github/DeepHedging/DeepRL-TensorFlow2-master/A3C/A3C_Continuous.py'}
2022-11-16 21:17:30,763 INFO    MainThread:22424 [wandb_init.py:_log_setup():476] Logging user logs to /Users/daehungo/Desktop/DataCapstone/github/DeepHedging/DeepRL-TensorFlow2-master/A3C/wandb/run-20221116_211730-bbmbj76r/logs/debug.log
2022-11-16 21:17:30,763 INFO    MainThread:22424 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/daehungo/Desktop/DataCapstone/github/DeepHedging/DeepRL-TensorFlow2-master/A3C/wandb/run-20221116_211730-bbmbj76r/logs/debug-internal.log
2022-11-16 21:17:30,766 INFO    MainThread:22424 [wandb_init.py:init():516] calling init triggers
2022-11-16 21:17:30,767 INFO    MainThread:22424 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-16 21:17:30,767 INFO    MainThread:22424 [wandb_init.py:init():569] starting backend
2022-11-16 21:17:30,767 INFO    MainThread:22424 [wandb_init.py:init():573] setting up manager
2022-11-16 21:17:30,775 INFO    MainThread:22424 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-11-16 21:17:30,778 INFO    MainThread:22424 [wandb_init.py:init():580] backend started and connected
2022-11-16 21:17:30,783 INFO    MainThread:22424 [wandb_init.py:init():658] updated telemetry
2022-11-16 21:17:30,801 INFO    MainThread:22424 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-16 21:17:31,450 INFO    MainThread:22424 [wandb_run.py:_on_init():2000] communicating current version
2022-11-16 21:17:31,598 INFO    MainThread:22424 [wandb_run.py:_on_init():2004] got version response 
2022-11-16 21:17:31,598 INFO    MainThread:22424 [wandb_init.py:init():728] starting run threads in backend
2022-11-16 21:17:33,234 INFO    MainThread:22424 [wandb_run.py:_console_start():1980] atexit reg
2022-11-16 21:17:33,234 INFO    MainThread:22424 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-16 21:17:33,234 INFO    MainThread:22424 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-16 21:17:33,234 INFO    MainThread:22424 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-16 21:17:33,234 INFO    MainThread:22424 [wandb_init.py:init():765] run started, returning control to user process
2022-11-16 21:17:40,249 WARNING MsgRouterThr:22424 [router.py:message_loop():77] message_loop has been closed
